ADM2_PCODE,ADM_PCODE,female_pop,children_u5,female_u5,elderly,pop_u15,female_u15
ID1611,ID1611,13248,2482,1216,904,7510,3679
ID5311,ID5311,0,0,0,0,0,0
ID7316,ID7316,0,0,0,0,0,0
ID9101,ID9101,908,206,101,86,610,298
ID5309,ID5309,0,0,0,0,0,0
ID3205,ID3205,0,0,0,0,0,0
ID1113,ID1113,49898,10187,5007,4482,30245,14859
ID5104,ID5104,0,0,0,0,0,0
ID7502,ID7502,1554,362,179,108,1050,515
ID7505,ID7505,53200,12409,6122,3704,35936,17623
ID7306,ID7306,0,0,0,0,0,0
ID3525,ID3525,26960,4181,2032,4082,12567,6137
ID3315,ID3315,0,0,0,0,0,0
ID3403,ID3403,0,0,0,0,0,0
ID6211,ID6211,24458,4455,2178,2089,13185,6458
ID8201,ID8201,8633,2119,1036,366,5866,2858
ID8204,ID8204,68812,15642,7681,6527,46196,22569
ID8202,ID8202,6544,1607,785,277,4446,2167
ID8206,ID8206,6699,1645,804,284,4552,2218
ID8205,ID8205,5871,1441,704,249,3989,1944
ID6306,ID6306,35,6,3,4,19,9
ID6307,ID6307,4249,739,362,525,2315,1137
ID6308,ID6308,0,0,0,0,0,0
ID1215,ID1215,117593,22026,10784,14811,67395,33031
ID3399,ID3399,0,0,0,0,0,0
ID1403,ID1403,333703,66454,32607,29453,187254,92260
ID1402,ID1402,264358,51630,25333,24487,148670,73150
ID3212,ID3212,0,0,0,0,0,0
ID9435,ID9435,50589,11330,5411,1271,35901,16851
ID9403,ID9403,0,0,0,0,0,0
ID9402,ID9402,0,0,0,0,0,0
ID3509,ID3509,0,0,0,0,0,0
ID5101,ID5101,0,0,0,0,0,0
ID7304,ID7304,3685,849,418,421,2491,1224
ID3320,ID3320,0,0,0,0,0,0
ID3517,ID3517,0,0,0,0,0,0
ID9102,ID9102,0,0,0,0,0,0
ID1406,ID1406,586240,112625,55264,56218,330693,162522
ID6203,ID6203,0,0,0,0,0,0
ID6108,ID6108,133733,25240,12353,10876,74503,36514
ID5107,ID5107,0,0,0,0,0,0
ID3313,ID3313,0,0,0,0,0,0
ID3215,ID3215,0,0,0,0,0,0
ID2101,ID2101,114412,22784,11180,10098,64201,31632
ID1211,ID1211,210307,47143,23105,13097,133867,65696
ID6209,ID6209,10961,1997,976,936,5909,2894
ID1704,ID1704,0,0,0,0,0,0
ID6111,ID6111,0,0,0,0,0,0
ID3305,ID3305,0,0,0,0,0,0
ID3506,ID3506,0,0,0,0,0,0
ID9420,ID9420,0,0,0,0,0,0
ID3324,ID3324,0,0,0,0,0,0
ID1708,ID1708,0,0,0,0,0,0
ID2105,ID2105,0,0,0,0,0,0
ID8105,ID8105,0,0,0,0,0,0
ID1301,ID1301,0,0,0,0,0,0
ID1410,ID1410,20673,4117,2020,1825,11601,5716
ID7103,ID7103,39617,9241,4559,2758,26760,13123
ID7301,ID7301,7286,1680,826,832,4925,2420
ID3101,ID3101,0,0,0,0,0,0
ID8203,ID8203,0,0,0,0,0,0
